name,id,salary_from,salary_to,experience,requirement,url
Middle Python Developer,84148906,0,0,От 1 года до 3 лет,"Опыт работы с системами, где применяется машинное обучение для решение клиентских задач. Навыки инженера разработчика на python. Приветствуются знания Go...",https://hh.ru/
Программист Python,83684261,200000,0,От 1 года до 3 лет,"Знание и опыт Computer Vision. — Хорошая математическая подготовка. — Опыт разработки алгоритмов машинного обучения с использованием библиотек TensorFlow, Theano, Caffe и...",https://hh.ru/
Backend Python Developer (Django),83458412,160000,0,От 1 года до 3 лет,"Опыт работы с Postgres.SQL. Знание способов оптимизации запросов через ORM. Опыт работы с celery, redis. Знание английского языка на уровне...",https://hh.ru/
Математик-программист (Python),83080821,0,0,От 3 до 6 лет,Вы имели опыт разработки задач линейного и целочисленного программирования в коммерчески успешных проектах. Понимали ограничения подхода линейной и целочисленной оптимизации. ,https://hh.ru/
Программист Python (Junior+/Middle),82987200,0,0,От 1 года до 3 лет,"Хорошая алгоритмическая подготовка. Техническое образование или эквивалентный практический опыт. Знание Python 3.5+, опыт практического применения от года. ",https://hh.ru/
Backend-разработчик Python/Django,83752469,130000,0,От 3 до 6 лет,"Знания, навыки и опыт Python/Django, Git. Умение быстро погружаться в задачи и эффективно их решать. Опыт с graphQL желателен...",https://hh.ru/
Python WMS Developer,83965854,0,0,От 3 до 6 лет,"Linux-разработка, умение эффективно работать в среде Linux. Опыт работы разработчиком более 5 лет. Опыт декомпозиции и оценки времени выполнения...",https://hh.ru/
"Программист-разработчик(Python, JS)",82644933,0,0,От 1 года до 3 лет,"Опыт работы с реляционными/nosql БД, базовое понимание работы с ними. Понимание общих принципов работы веб-приложений. Опыт работы с...",https://hh.ru/
Ведущий программист Python,83095226,2000,0,От 1 года до 3 лет,"Опыт коммерческой разработки от 2 лет. Знания по ООП (SOLID, паттерны проектирования). Протоколы TCP/IP/HTTP. Английский язык на уровне...",https://hh.ru/
Python Developer,80885148,0,0,От 1 года до 3 лет,"От Вас: Опыт разработки на Python от 2 лет. Опыт работы с веб-фреймворками (Django, Flask, aiohttp), создания API (REST...",https://hh.ru/
Разработчик Python (django),83393854,0,0,От 1 года до 3 лет,Понимание принципов SOLID. Опыт работы с git и взаимодействия с удаленными репозиториями хранения кода. Опыт работы: 2+ лет в...,https://hh.ru/
Python / ML Engineer,83826174,0,0,От 1 года до 3 лет,Создание рекомендательных систем DL.,https://hh.ru/
Программист Python,83589408,400000,0,Более 6 лет,"Опыт работы с Python 3.8, asyncio (async/await), веб-фреймворками (aiohttp/fastAPI/flask/Django), Aiogram (фреймворк для разработки телеграм...",https://hh.ru/
Python-разработчик в «Госуслуги.Культура»,80916871,0,0,От 3 до 6 лет,"Коммерческий опыт разработки веб-сервисов на Python от 2х лет. Понимание принципов построения отказоустойчивых систем. Будет идеально, если имеется...",https://hh.ru/
Разработчик back-end (python),81504601,0,0,От 1 года до 3 лет,"Отличное знание Python, Django. Понимание принципов ООП, SOLID, паттернов проектирования. Опыт работы с базами данных.",https://hh.ru/
Программист Python,83967739,0,0,От 3 до 6 лет,"Опыт промышленной разработки на Python от 2-х лет (уровень не ниже middle). * Знание/опыт работы с git, docker. * ",https://hh.ru/
Python developer (проект NtechMed),83033070,0,0,От 1 года до 3 лет,"Опыт работы с Python3 от 2-х лет. Знание ООП, алгоритмов и структур данных. Хорошее знание PostgreSQL (+ SQLAlchemy). ",https://hh.ru/
